id,name,category,region,batch,projectCode,protectUnits,tags,popularity,experienceValue,intro,detailUrl,manualVector
national-0396,道教音乐（花张蒙道教音乐、茅山道教音乐、苍南正一派科仪音乐、龙虎山正一天师道道教音乐、全真道堂科仪音乐）,传统音乐,河北省定州市，江苏省句容市，浙江省苍南县，江西省鹰潭市，香港特别行政区,q四扩,Ⅱ—139,,传统音乐；花张蒙道教音乐；茅山道教音乐；苍南正一派科仪音乐；龙虎山正一天师道道教音乐；全真道堂科仪音乐；声音艺术；现场聆听,70,70,道教音乐（花张蒙道教音乐、茅山道教音乐、苍南正一派科仪音乐、龙虎山正一天师道道教音乐、全真道堂科仪音乐）是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为河北省定州市，江苏省句容市，浙江省苍南县，江西省鹰潭市，香港特别行政区。,,
national-0397,凤阳民歌,传统音乐,安徽省滁州市,第三批,Ⅱ—140,,传统音乐；故事叙事；地方记忆；声音艺术；现场聆听,75,70,凤阳民歌是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为安徽省滁州市。,,
national-0398,九江山歌,传统音乐,江西省九江县,第三批,Ⅱ—141,,传统音乐；故事叙事；地方记忆；声音艺术；现场聆听,75,70,九江山歌是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为江西省九江县。,,
national-0399,利川灯歌,传统音乐,湖北省利川市,第三批,Ⅱ—142,,传统音乐；故事叙事；地方记忆；声音艺术；现场聆听；现场表演；节庆氛围,75,70,利川灯歌是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为湖北省利川市。,,
national-0400,天门民歌,传统音乐,湖北省天门市,第三批,Ⅱ—143,,传统音乐；故事叙事；地方记忆；声音艺术；现场聆听,75,70,天门民歌是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为湖北省天门市。,,
national-0401,临高渔歌,传统音乐,海南省临高县,第三批,Ⅱ—144,,传统音乐；故事叙事；地方记忆；声音艺术；现场聆听,75,70,临高渔歌是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为海南省临高县。,,
national-0402,弥渡民歌,传统音乐,云南省弥渡县,第三批,Ⅱ—145,,传统音乐；故事叙事；地方记忆；声音艺术；现场聆听,75,70,弥渡民歌是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为云南省弥渡县。,,
national-0403,青海汉族民间小调,传统音乐,青海省西宁市,第三批,Ⅱ—146,,传统音乐；舞台表演；传统审美,75,70,青海汉族民间小调是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为青海省西宁市。,,
national-0404,阿里郎,传统音乐,吉林省延边朝鲜族自治州,第三批,Ⅱ—147,,传统音乐,75,70,阿里郎是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为吉林省延边朝鲜族自治州。,,
national-0405,哈萨克族民歌,传统音乐,新疆维吾尔自治区伊犁哈萨克自治州,第三批,Ⅱ—148,,传统音乐；故事叙事；地方记忆；声音艺术；现场聆听,75,70,哈萨克族民歌是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为新疆维吾尔自治区伊犁哈萨克自治州。,,
